place_number;booking_weezpay_account;stall_name;drink_categories;food_types
198.17;2501-002;TexMexFood;;Burgers, Sp?cialit?s Am?rique latine, Plats TexMex tels que burritos, fajitas, texas wrap, frites, poulet frit;6.9308401442544785, 46.991369006158465
351.01;2237-002;Stand de Isa Bal;;;6.928750419716606, 46.99230565756834
537.21;2303-004;Stand de willy bonnaval;min?rales, granita sans alcool;Churros, Cr?pes;6.931504761291326, 46.99050575180304
387.11;2125-005;Stand de Duong Khanh Hiep;;Sp?cialit?s Asiatiques;6.931528881207825, 46.99122224893309
045.12;2525-002;Bao Boys / Ichi Ramen;min?rales, vins, bi?res;Sp?cialit?s Orientales;6.930043722124612, 46.990715482834496
537.11;2167-003;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux, cocktails;;6.931829822079924, 46.99076091798065
537.13;2167-004;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux;;6.9316319946420695, 46.990685653718614
732.04;2167-006;Stand de Khayrallah Nassim - nourriture libanaise;;Sp?cialit?s Orientales;6.930781151682555, 46.991085914820694
732.06;2167-005;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux, cocktails;;6.930712609561364, 46.99104871689219
648.04;2393-002;Stand de Bestevents sarl;min?rales;Burgers, kebab, hamburger, balkans;6.931998708609066, 46.99113384927438
198.08;2318-003;Stand de Les Verts;min?rales, vins, bi?res;Soupe ? la courge, pain, fromage + autre ? voir;6.9304449274929185, 46.99164002428342
201.07;2220-002;Le Sud Restaurant;;;6.927882947509986, 46.99073272517536
201.01;2220-003;Stand A l'Ouest;min?rales, vins, bi?res, liquoreux, cocktails;;6.927916716366546, 46.99079867639896
276.01;2303-005;Bonnaval - churros;;;6.930303283351487, 46.99022565602141
306.07;2442-002;MGM Caf?;min?rales, vins, bi?res, liquoreux, cocktails;;6.928145977658366, 46.991426577273245
744.78;2183-002;Dimitri Engel & La Cantine;min?rales, vins;Burgers;6.928115989573025, 46.99305677839724
744.76;2183-006;Escargot Rouge Invit? Swiss Wine Vaud;vins;P?t? Vaudois;6.928141652788455, 46.99302537368371
744.74;2183-003;Vins Alain Gerber & Silex;vins;Planchette du terroir fa?on poisson;6.9281937243105345, 46.992961818853644
744.72;2183-005;Les Caves de la B?roche & EpiQure;vins, bi?res;;6.92821952901974, 46.992930468288705
792.05;2149-002;CIANE;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Africaines, Grillades, poissons, bananes beignets;6.9298944180013455, 46.990531451436716
744.01;2131-002;Stand de Velez Gonzalez Yonatan;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine;6.929113393673262, 46.99049622828513
198.19;2036-002;Buffalo Bill;min?rales, bi?res, liquoreux, cocktails;;6.9309225939206565, 46.99127278987101
384.03;2537-002;Stand de ilir bytyqi;min?rales, vins;Burgers;6.9296523268463455, 46.99178542007954
744.70;2183-007;Domaine Christalain & GSN;min?rales, vins;Planchette neuch?teloise (tomme, saucisson et pain);6.928266087941012, 46.992866246663034
744.68;2183-008;Domaine Saint-S?baste & FC Saint-Blaise;vins;;6.928286301547644, 46.99283303067347
744.66;2183-009;Sionwine.ch invit? Swiss Wine Valais;vins;Sandwich;6.928327114414809, 46.99276574785516
744.64;2183-010;Brasserie de la Meute;min?rales, bi?res, liquoreux;;6.9283471017185745, 46.9927324918292
744.62;2183-011;La Grillette & Domaine Grisoni;vins;;6.928387686601438, 46.99266513145805
744.60;2183-012;Cave des Lauriers et Go?t et R?gion;min?rales, vins, liquoreux;Fondue au fromage;6.928407772456101, 46.99263187158252
744.58;2183-013;Vins Nicolet & Vouga;min?rales, vins;;6.928447428262325, 46.99256444945818
744.50;2183-014;Maison de la Tourbi?re;;Raclette;6.9286062721014305, 46.992196076363655
744.48;2183-015;Domaine Divernois;min?rales, vins;;6.9286279176438965, 46.99216236149161
744.56;2183-016;Poissonnerie Berger;;Friture de poisson du lac et frite;6.92846649971148, 46.99253105155888
744.44;2183-017;Absinthe La Valote Martin;vins, liquoreux;;6.928700229777844, 46.99206468268296
744.42;2183-018;Boucherie du Palais Invit? Regio Garantie Gen?ve;min?rales;D?lice Genevois Pistach?, Petit P?t? Genevois, Croissant au Jambon Traditionnel, Croissant Genevois , saucisson secs au Gamaret, Saucisson sec de Porc de Jussy, Filet de Porc sec de Jussy, Coppa de Porc de Jussy, Saucisse ? l'Ail de Jussy, Planchette Genevoise;6.928744748864028, 46.99199851338698
744.40;2183-019;Swiss Wine Gen?ve;vins;;6.928766686268891, 46.99196581347738
744.38;2183-020;Caves de la Ville;vins;;6.928810801992934, 46.99189949022416
744.36;2183-021;Brasserie B'art;min?rales, bi?res;Burgers;6.928832622265861, 46.991866753762416
537.10;2405-002;Stand de Kheiri;min?rales, vins, bi?res, liquoreux;Burgers, Grillades, Kebab, Sandwich, Sp?cialit?s Africaines, Sp?cialit?s Orientales;6.9314310585140415, 46.99063089343291
537.25;2076-002;Stand de FC DM Surfaces;min?rales, vins, bi?res, liquoreux, cocktails;Steak vigneron;6.931405984991522, 46.990293790987515
537.19;2303-006;Stand de willy bonnaval;cocktails;Churros;6.931535040843786, 46.99053928045554
384.14;2543-002;Stand de k hamma;;Sandwich, Sp?cialit? Grec;6.929800898140602, 46.991860666928815
387.05;2545-003;Stand de ncswiss;min?rales, vins, bi?res, liquoreux, cocktails;Churros, nougat;6.931093812876091, 46.99173239901663
648.34;2171-002;Stand de Franck Pellet;;Churros, Cr?pes;6.933338758284115, 46.99175569466349
657.02;2303-007;Stand de willy bonnaval;;Sucrerie;6.929140565065094, 46.99037763597042
537.04;2252-004;Chick n chips;;Nuggets poulet;6.9315505926189225, 46.99080753712411
744.18;2304-002;Stand de Hoppy Truck Company;min?rales, bi?res, liquoreux;;6.929139291980606, 46.99101209643403
045.24;2023-002;LABELFRITES;min?rales;Steak vigneron, Hot-dog , Merguez, Frites;6.930460602917674, 46.9901508950426
198.03;2054-002;Stand de Festi'neuch;min?rales, vins, bi?res, liquoreux, cocktails;;6.930404613309456, 46.9917216596733
